Title,Min Salary,Max Salary,Salary Period,Company Name,State,Remote
Carbon data analyst,,,,,,No
Data Analyst,80783,103333,Yearly,DC Public Library,,No
Data Reporting Analyst III,75300,100800,Yearly,Horizon Blue Cross Blue Shield of New Jersey,,No
Senior Data Analyst,78700,163400,Yearly,First American Financial Corporation,CA,Yes
Product Data Analyst,95200,121000,Yearly,Concept Art House,,Yes
Data Analyst I,62000,62000,Yearly,Marys Center for Maternal and Child Care,,No
Global Commercial Data Analyst - Data Linkage,55000,105000,Yearly,Viatris,,Yes
Data Analyst,65000,75000,Yearly,Reorg Research,NY,No
DATA INTEGRITY ANALYST,45900,58100,Yearly,Procter & Gamble,NC,No
Data Analyst,85600,108000,Yearly,Amdex Corporation,MD,No
Recruitment Data Analyst,73900,93500,Yearly,Apollo.io,,Yes
Data Analyst,60000,85000,Yearly,EdPlus at Arizona State University,AZ,Yes
"IT Analyst, BI and Data Modeling",84100,106000,Yearly,Komatsu,,No
Provider Data Analyst,,,Daily,Community Health Network,,No
Data Analyst I,61800,78200,Yearly,Enbridge,TX,Yes
"Data Analyst, Strategy & Marketing",108000,137000,Yearly,Tala,MO,No
ERP Data Analyst,73,73,Hourly,Purolator,,No
Data Analyst,80000,120000,Yearly,Project Consulting Group (PCG),MN,No
Data Analyst,,,,Sedgwick,,No
Data Analyst - Tiktok Ads and Monetization Products,120000,220000,Yearly,ByteDance,CA,No
Data Operations Analyst,95000,105000,Yearly,WisdomTree,,Yes
Analyst-Data,56600,71700,Yearly,TidalHealth,MD,No
Data Analyst,74400,94200,Yearly,Enveyo,UT,Yes
Sr. Data Warehousing Analyst,86500,110000,Yearly,The Ohio State University Wexner Medical Center,,No
Data Analyst - Student Health,25,39.69,Hourly,Keck Medical Center of USC,,No
Regulatory Reporting Data Analyst (New or Recent Graduate) - Immediate Start Date,63300,80100,,BMO Harris Bank,,No
Data Analyst II - US Remote,6258,7823,Monthly,FedEx Dataworks,VA,Yes
Senior Data & Insights Analyst,70300,89100,Yearly,Schnucks,MO,No
Data Analyst - Pharma Agency,,,Yearly,"Clutch Group, Inc.",,Yes
Data Analyst,63100,79900,Yearly,WidePoint Corporation,OH,No
Data Analyst,60588,112521,Yearly,"Big Fish Games, Inc.",NV,Yes
Senior Data Analyst,106000,135000,Yearly,Gridwise,,Yes
Energy Data Analyst,68500,86800,Yearly,Prudential Energy,,No
Supportive Schools Data Analyst (Data Analyst IV),4917,6489,Monthly,TEXAS EDUCATION AGENCY,,No
Data Analyst,80000,101000,Yearly,GOCOOL,,No
Senior Analyst – Data & Products,99800,126000,Yearly,DTCC,NJ,Yes
Risk Data Analyst,94199,145617,Yearly,US Development Finance Corporation (formerly...,DC,Yes
Data Analyst - Energy & Power,96000,130000,Yearly,Jacobs,,No
Healthcare Data Analyst,,,,San Manuel Band of Mission Indians,CA,No
"Senior Analyst, Data Analytics",,,,"DriveTime Automotive Group, Inc.",AZ,No
Research Data Analyst - Avera Cancer Institute,27.5,41.5,Hourly,Avera,SD,No
Transportation Data Analyst - REMOTE,20.5,28.97,Hourly,Monster Energy,GA,Yes
Data Analyst Liaison,25.84,37.76,Hourly,Michigan Public Health Institute (MPHI),MI,Yes
Healthcare Data Analyst (700920),,,,TulaRay,PA,No
Data Analyst II,50000,65000,Yearly,Management Science Associates,,Yes
Research Data Analyst,70900,89800,Yearly,CBRE,,No
Research Data Analyst,81650,81650,Yearly,Johns Hopkins University,,No
Data Analyst,82700,105000,Yearly,Electronic Transaction Consultants,,Yes
Regulated Compliance Data Analyst (Crop Science R&D),85800,118000,Yearly,Bayer,MO,No
Data Analyst,260,260,Daily,Beaufort County School District,SC,No
"Data Analyst, Restaurant Excellence",74100,95810,Yearly,Yum! Brands,CA,Yes
Data Analyst,99400,126000,Yearly,Grenza,,No
Senior Data Science Analyst (multiple openings) - IHM,78500,99300,Yearly,Discover Financial Services,IL,No
Data Analyst,50000,70000,Yearly,WidePoint,,No
"Sr Data Analyst, IQVIA Biotech, Home-based",88400,112000,Yearly,IQVIA,,Yes
Data Analyst,71600,90700,Yearly,mindit.io,,Yes
Finance Data Analyst - Finance Technology & Transformation,55000,105000,Yearly,Amex,AZ,No
Senior Data Analyst,65000,90000,Yearly,TCGplayer,,Yes
Data Analyst,55877,55877,Yearly,Cleveland Community College,NC,No
Senior Data Analyst (Contractor),43,65,Hourly,"Amplify Education, Inc.",,Yes
Data Analyst,118300,245700,Yearly,Leidos,MD,No
Health Plan Data Analyst,,,,Cook Children's Health Care System,,No
Data Modeling Analyst,,,,Penn State University,PA,No
Data Analyst,70000,90000,Yearly,Glassview Media,NY,No
Senior Data Analyst,85100,108000,Yearly,Sea and Beyond,,Yes
HEALTHCARE DATA ANALYST,,,,,,No
Senior Data Analyst - Data Quality,115000,140000,Yearly,"Cogitativo, Inc.",,Yes
Associate Data & Reporting Analyst,,,,Spectrum,MO,No
Data Analyst,68800,87100,Yearly,CampusWorks,,Yes
Lead Data Analyst,121000,153000,Yearly,Lennar Homes,,No
Senior Data Analyst,120000,180000,Yearly,Walmart,TX,No
Data Analyst 2 - Albany - Research and Statistics,79325,100342,Yearly,"Labor, Department of",NY,Yes
Jr. Drilling Data Analyst,,,,Corva,TX,No
Data Analyst,77900,98600,Yearly,Cirba Solutions,MI,No
Program Analyst (Evaluation and Data),112015,145617,Yearly,National Library of Medicine,MD,No
Data Analyst,29600,37500,Yearly,Hampton University,VA,No
Data Analyst Senior,73400,92900,Yearly,PNC Financial Services Group,,No
Data Analyst,79700,101000,Yearly,Enterprise Resource Partners,CA,No
Data Analyst,62500,80000,Yearly,Craftsman Technology Group LLC,,Yes
"Data Analyst I - Pittsburgh, PA",,,,Sheetz,,No
Data Analyst,79200,100000,Yearly,CareMetx LLC,,Yes
"Business Analyst, eCommerce (remote)",61100,90800,Yearly,US Foods,IL,Yes
Data Analyst,6391,7192,Monthly,"City of Grand Junction, Colorado",CO,No
Data Loss Prevention Operations Analyst,90000,133000,Yearly,TikTok,NY,Yes
Sr. Data Analyst,93100,118000,Yearly,Intone Networks,,Yes
Data Compliance Analyst,48900,62000,Yearly,Oakland Schools,MI,No
"Research Analyst, Data Science",70000,90000,Yearly,Polco,,Yes
Data Analyst,87300,111000,Yearly,Amivero,DC,Yes
Sr. Reporting & Data Analyst,77402,116104,Yearly,Adventist Health,,No
Data Analyst,37.5,43.7,Hourly,Fisher & Phillips LLP,,No
Business Analyst II,87200,110000,Yearly,Mastercard,MO,No
Data Analyst - Remote in the US,80100,101000,Yearly,X-Rite Pantone,NY,Yes
Data Analyst,78900,99900,Yearly,Doximity,NC,Yes
Data Analyst III,41.08,53.27,Hourly,Kern Health Systems,CA,No
Sr. Data Analyst,85000,95000,Yearly,"Stillwater Insurance Services, Inc.",,No
"Sr. Data Analyst, Health Informatics",92000,110000,Yearly,Zimmer Biomet,,Yes
Data Analyst,64600,81800,Yearly,"William E. Wecker Associates, Inc.",WY,No
Research Data Analyst II,,,Daily,AdventHealth Orlando,FL,Yes
Marketing Data Analyst - Partner Programs,89300,113000,Yearly,Bosch Group,MA,No
Data Analyst,68300,86400,Yearly,Trystar Inc,MN,No
Senior Data Analyst,125544,145496,Yearly,North East Medical Services,CA,No
Senior Privacy Data Analyst,100000,160000,Yearly,ZeniMax Media Inc.,MD,No
Budget Data Analyst (Power BI/Excel/VBA expert),66400,99600,Yearly,General Dynamics Information Technology,,Yes
"Senior Data Analyst, GTM",111900,111900,Yearly,"Zoom Video Communications, Inc.",,Yes
Transit Data Analyst,76100,96300,Yearly,IBI Group,MA,Yes
Data Analyst,87100,110000,Yearly,mBridge Solutions,TX,No
Senior Data Analyst,87300,111000,Yearly,OpenSea,,Yes
Security Data Analyst,93800,119000,Yearly,BNY Mellon,FL,No
OR Data Analyst,69500,88000,Yearly,AHMC Healthcare,,No
Data Analyst,50000,70000,Yearly,Infinity Marketing,,Yes
Data Analyst,62100,78700,Yearly,Mabrey Bank,OK,No
Senior Data Analyst,98800,164700,Yearly,TIAA,NC,No
HR Data Analyst,35.45,43.09,Hourly,Marshall Medical Center,CA,No
Data Analyst(SQL),72400,91700,Yearly,Leading Torch LLC,TX,No
Data Analyst/Junior ETL Developer,55300,70100,Yearly,Kemper,AL,Yes
Sr. Data Analyst Revenue Manaegment- Remote,63200,80100,Yearly,Stericycle,IL,Yes
Data Analyst,65400,82900,Yearly,Lake Appliance Repair,CA,No
Sr. Data Analyst,84600,107000,Yearly,Morehouse School Of Medicine,,No
Data / Systems Analyst (full-time),63600,80600,Yearly,Liberty Healthcare Corporation,PA,Yes
E-commerce Data Analyst,79400,100000,Yearly,BITCADET,,Yes
Data Analyst,59089,73800,Yearly,Dart Container,FL,Yes
Data Center Analyst 2,65700,83100,Yearly,Unisys,CT,No
Data Analyst - Term,75400,95500,Yearly,Argonne National Laboratory,IL,No
Data & Insights Analyst,62000,78500,Yearly,Schnucks,MO,No
Data Analyst,67600,85600,Yearly,Bunge,IN,No
Healthcare Data Analyst,,,,FAIR Health Inc,,No
Sr. Data Visualization Analyst (305),100000,150000,Yearly,Amplify Consulting Partners,,Yes
Data Analyst,65000,74750,Yearly,Pawnee Mental Health Services,KS,No
Data Analyst,85000,85000,Yearly,Public Health Solutions,,Yes
Senior Data Analyst,80000,95000,Yearly,Warner Music Group,NY,Yes
Data Analyst - Remote,84700,107000,Yearly,LiveMarket,,Yes
Data Analyst,89600,113000,Yearly,Unqork,NY,Yes
Data Governance Analyst - (REMOTE OPPORTUNITY),82800,105000,Yearly,Regions,AL,Yes
"Jr Data Analyst, BRS",64800,82000,Yearly,United States Steel,AR,No
Senior Data Analyst,92400,117000,Yearly,XA Group,,Yes
Data Health Analyst,,,,Arcadia.io,MA,No
Data Inventory and Migration Analyst,87500,116000,Yearly,Applanix,,Yes
Data Analyst,71000,90000,Yearly,Rarible,ME,No
"Analyst, People Data & Reporting",64300,81400,Yearly,"Hawaiian Airlines, Inc.",HI,No
Senior Data Analyst,100000,127000,Yearly,Western Alliance Bank,CA,No
Business & Data Technology Analyst,100000,130000,Yearly,CIBC,IL,Yes
Data Analyst,75200,107400,Yearly,Cardinal Health,,No
Big Data Developer Analyst,113000,143000,Yearly,Global Data Tek,NJ,No
Data Analyst - Glasscock School,64500,73500,Yearly,Rice University,TX,No
"Data Analyst, Mid",58300,133000,Yearly,Booz Allen Hamilton,TX,Yes
Los Angeles 2024 Analyst - Early Decision,90000,95000,Yearly,Compass Lexecon,,No
Senior Operations Data Analyst,107000,135000,Yearly,PG&E Corporation,CA,Yes
TWDB - 23-52 - Agricultural Water Data Specialist (Data Analyst II),4583,5519,Monthly,TEXAS WATER DEVELOPMENT BOARD,TX,Yes
Library Assessment and Data Analyst,63000,63000,,Nova Southeastern University,FL,No
Data Analyst (Management Operations Analyst I),4982,7369,Monthly,State of Illinois,IL,No
Senior Data Management Analyst (contract),,,,Wells Fargo,NC,No
PROGRAM ANALYST,78592,102166,,U.S. Marine Corps,VA,Yes
Quality Analyst,27.5,27.5,Hourly,Silgan,NC,No
"Associate Data Analyst- Norfolk, VA - Hybrid",61700,78100,Yearly,PRA Group,VA,No
IT Business Analyst,149900,225000,Yearly,Citi,NY,No
Sr. Business Analyst,145000,155000,Yearly,Zest AI,,Yes
Operational Reference Data Services (ORDS) – Client Reference Data Specialist - No Corporate Title/Analyst,98800,125000,Yearly,Deutsche Bank,FL,No
Business Analyst (DOJ),,,Yearly,Endictus,DC,No
Data Analyst - Power BI,89400,113000,Yearly,Spartan Technologies,GA,No
Data Scientist (Senior Analyst),7267,10901,Monthly,Judicial Council of California,CA,Yes
Project Consulting & Data Analyst,33.86,38.94,Hourly,Logic Rule,WA,No
Analyst (Data Analytics),134000,224000,Yearly,Maxar Technologies,VA,No
Business Intelligence Analyst,66600,84300,Yearly,Flynn Restaurant Group Support Center Careers,OH,No
Senior Inventory Data Analyst,100000,125000,Yearly,Alo Yoga,CA,No
Data Analyst,70500,89200,Yearly,Media Fusion,GA,No
Data Management Analyst - Family Medicine - Population Health Research,,,,,,No
Data Analyst (Information Systems Specialist 7),5885,8894,Monthly,Oregon Health Authority,OR,No
Business Analyst,64100,81200,Yearly,Ameren,MO,Yes
Data Specialist,57300,72500,Yearly,Betty Jean Kerr Peoples Health Centers,,No
Billing Data Analyst,70000,80000,Yearly,Lightpath,CO,No
ANALYST - RESEARCH ANALYST - ASTRONOMICAL DATA ANALYST,,,,,,No
Business Analyst,80000,100000,Yearly,Wachter,AR,No
Analyst - Analytics and Data Science,,,Yearly,Blue Cross Blue Shield of Arizona,AZ,Yes
BI Data Warehouse Analyst,84600,107000,Yearly,Kemper,GA,Yes
Marketing Data Analyst,57800,73100,Yearly,Worcester Polytechnic Institute,MA,No
Data Science Support Analyst,59300,75100,Yearly,"CALIBRE Systems, Inc.",VA,No
Data & BI Analyst II,81600,103000,Yearly,Chesapeake Utilities Corporation,DE,Yes
Business Intelligence Analyst,75500,95600,Yearly,Ria,CA,No
Informatics Data Analyst,115070,126577,Yearly,Community Health Group,,No
Data Analyst,91200,115000,Yearly,Jacobs,FL,No
Senior Data Management Analyst (contract),,,,Wells Fargo,NC,No
ONSITE-Senior Data Analyst,89800,114000,Yearly,Oracle,MN,No
Data Analyst,89600,114000,Yearly,Thermo Fisher Scientific,,Yes
Associate Master Data Analyst,50600,64100,Yearly,Cargill,MN,No
"Senior Data Analyst, Financial Services",120000,150000,Yearly,Earnest Analytics,NY,Yes
Data Analyst,59100,74800,Yearly,Mercy College,NY,No
Associate Business Analyst,58000,86000,Yearly,QBE,MN,Yes
Senior Data Analyst,77700,98400,Yearly,FrankCrum,FL,No
Research Analyst,71147,92072,Yearly,State of Connecticut - Department of Energy &...,CT,No
Senior Data Analyst 3,,,,,,No
BI Data Analyst II,,,,Masonite,FL,No
Data Analyst II-Clinical Support,58300,73800,Yearly,Christus Health,,No
Senior Data Analyst,80200,102000,Yearly,Universal Service Administrative Company,,No
Data Specialist,96500,122000,Yearly,Enbridge,TX,Yes
Data Analyst,43500,55100,Yearly,Brown University,,No
Data Analyst,89100,113000,Yearly,Congensys Corp,NJ,No
Technology Business Analyst,55000,93750,Yearly,Xactus,MA,No
Business Intelligence Analyst,67900,86000,Yearly,Webstaurant Store,PA,Yes
Enterprise Data Analyst- Power BI,86700,110000,Yearly,Twin-Star International Inc,FL,No
"Data Analyst, Go Live",100000,120000,Yearly,Riskified,NY,Yes
Analytics Analyst II,93000,127050,Yearly,Horizon Blue Cross Blue Shield of New Jersey,NJ,No
Data Analyst,51500,65200,Yearly,Webster University,MO,No
Data Analyst,,,,RWJBarnabas Health,NJ,No
Associate IT Business Analyst,63118,87346,Yearly,Sherwin-Williams,OH,No
"Data Analyst, SMB Sales GTM Insights",131000,166000,Yearly,TikTok,TX,No
Logistics Quality Control Data Analyst,91200,200555,Yearly,TikTok,CA,No
Sr. Healthcare Data Analyst (SQL) Work From Home,,,,Point32Health,,Yes
Data Analyst,,,,,,No
Jr. Metrics Analyst/ Data Analyst (Remote- East Coast Based Only),45000,66000,Yearly,Equitable,NC,Yes
Data Analyst,69500,88000,Yearly,Aldridge Electric,IL,No
Data & Research Analyst,,,,,,No
"Data Analyst - Health, Senior",85360,128040,Yearly,Blue Shield of California,CA,No
Staff Data Analyst,96900,123000,Yearly,Rivian,IL,No
Data Analyst,71700,90800,Yearly,Mass General Brigham,,No
Business Data Analyst,70000,110000,Yearly,Clear Street,NY,Yes
DATA ANALYST/HW,28.89,36.52,Hourly,"Muskegon County, MI",MI,No
Business Analyst,70000,135000,Yearly,Avenue Code,,Yes
Senior Product Data Analyst,102000,129000,Yearly,Skillz Inc.,CA,No
Sr. Analytics Data Analyst,90000,120000,Yearly,Trane Technologies,NC,Yes
Reporting and Analytics Analyst / Data Curator,59100,74800,Yearly,The Ohio State University Wexner Medical Center,,No
Senior Analyst Medical Data - Remote-Hybrid,40,60.64,,NewYork-Presbyterian Hospital,NY,Yes
Data Insights Analyst – Temporary,58200,73700,Yearly,Absolute Software,CO,Yes
Business Data Analyst,,,,,,No
Healthcare Data Analyst,,,,Connally Memorial Medical Center,TX,No
Power BI Data Analyst,70000,120000,Yearly,Rabobank,MO,Yes
Data Analyst,53000,67100,Yearly,Brightly Software Inc.,,No
Data Analyst,,,Yearly,"The Heston Law Firm, PLLC",TX,No
Analyst - Analytics and Data Science,,,Yearly,Blue Cross Blue Shield of Arizona,AZ,Yes
Data Analyst I,66691,86712,Yearly,SB Clinical Practice Management,NY,Yes
"Senior Data Analyst, Growth",120000,140000,Yearly,Fundrise,,Yes
Senior Data Analyst,80000,100000,Yearly,Apollo Medical Holdings,,Yes
Data Analyst,71400,90400,Yearly,Anblicks,,No
Data Analyst,93700,119000,Yearly,Entrust Datacard,MN,Yes
"Research, Evaluation, and Data Analyst",68500,123900,Yearly,"University of California, Riverside",,No
Ops Data Analyst,58400,76650,Yearly,Hill's Pet Nutrition,KS,No
Data Analyst,71400,90400,Yearly,Intellibee,,No
Data Analyst,90500,115000,Yearly,AppLab Systems,NJ,No
BI Analyst,74400,94200,Yearly,The David J. Joseph Company,OH,Yes
Data Analyst,69000,87400,Yearly,Steck Systems,,No
Data Analyst 3 - 85018,97826,120492,Yearly,"Health, Department of",NY,No
DATA ANALYST,65500,83000,Yearly,The Fidelis Group,NJ,No
Sr. Data Analyst,69258,103897,Yearly,White Plains Hospital,NY,No
Data Analyst,73200,92700,Yearly,Offchain Labs,,No
Senior Data Product Analyst,92000,170000,Yearly,KeyBank,OH,Yes
Statistical Data Reporting Analyst,,,Yearly,Group 1001,IN,No
Senior Data Analyst,,,,Pantherx Specialty LLC,PA,No
Data Analyst - Online Division - Grand Canyon University,49200,62300,Yearly,Grand Canyon Education,AZ,Yes
(Remote) Marketing Data Analyst,70000,120000,Yearly,Clark Associates,PA,Yes
"Fraud Risk Sr Analyst, AVP (Data and Control) - Hybrid",84480,126720,Yearly,Citi,DE,No
Data Analyst III/Tableau SME,83500,106000,Yearly,Civica Rx,,Yes
Senior Data Analyst,120000,170000,Yearly,Step Mobile,,No
Senior Game Data Analyst,,,Yearly,Amazon.com Services LLC,CA,No
Data Analyst,46100,58300,Yearly,The University of Louisiana at Monroe,,No
Data Warehouse Analyst Senior,96000,122000,Yearly,FIS Global,,No
Associate Research/Data Analyst (OEWS),39000,41615,Yearly,State of Missouri,MO,No
Sustainability Data Analyst,3050,3050,Monthly,Strategic Energy Innovations,NC,Yes
Business Analyst II,70300,89000,Yearly,Medicare,,Yes
Business Analyst,65000,82300,Yearly,Popular Bank,PR,No
Data Collection Analyst,80500,102000,Yearly,MI Technical Solutions,,No
Data Analyst (Mid),87200,110000,Yearly,Bayer,MO,No
Data Analyst (2178),65791,78626,Yearly,Natick Public Schools,MA,No
Data Analyst,57600,73000,,Chicago Fire FC,IL,No
Data Analyst II - may underfill as Data Analyst I,31.51,36.24,Hourly,Utah County Government,,No
Data Analyst,45000,45000,Yearly,Rogers State University,OK,No
Senior Data Analyst,,,,PepsiCo,TX,No
Data Analyst,67000,84800,Yearly,Centriam,MN,No
Data Analyst,85800,109000,Yearly,S&P Global,,No
"Data Analyst, Engineering (Hybrid)",79440,88270,Yearly,EVERSOURCE,NH,No
Data Analyst,53700,68000,Yearly,Yulista Management Services,TX,No
Data Analyst,57400,72600,Yearly,"Inteva Products, LLC",IN,No
"Data Analyst, Business Development",82000,152200,Yearly,LSEG (London Stock Exchange Group),NY,No
Data Analyst,54300,68700,Yearly,Drexel University,PA,Yes
Strategic Data Analyst III - 100% Remote,77500,120000,Yearly,Radian,,Yes
Data Analyst,56400,71400,Yearly,VMLY&R,,No
Data Analyst,70700,89500,Yearly,"ASHLIN Management Group, Inc.",MD,No
Data Analyst,66800,84600,Yearly,Northeastern University,,No
Business Analyst (Remote Possible),67000,100000,Yearly,Equitable,NC,Yes
STS Data Analyst,62600,79200,Yearly,Chesapeake Regional Healthcare,,No
Data Analyst,43954,70326,Yearly,State of New Mexico,NM,No
Data Analyst,63100,79900,Yearly,Incentrik,,No
Project Analyst,76925,99550,Yearly,U.S. Bank National Association,,Yes
